Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Inquisition of Kozilek",1,"Sorcery",B,"roe","115",uncommon,b,Not Owned,Non-foil,false,,,"New","",36360,
"Mind Twist",1,"Sorcery",B,"leb","116",rare,b,Not Owned,Non-foil,false,,,"New","",,
"Reanimate",1,"Sorcery",B,"tmp","151",uncommon,b,Not Owned,Non-foil,false,,,"New","",9989,
"Thoughtseize",1,"Sorcery",B,"lrw","145",rare,b,Not Owned,Non-foil,false,,,"New","",28269,
"Collective Brutality",2,"Sorcery",B,"emn","85",rare,b,Not Owned,Non-foil,false,,,"New","",61144,
"Demonic Tutor",2,"Sorcery",B,"leb","105",uncommon,b,Not Owned,Non-foil,false,,,"New","",,
"Exhume",2,"Sorcery",B,"usg","134",common,b,Not Owned,Non-foil,false,,,"New","",11897,
"Hymn to Tourach",2,"Sorcery",B,"fem","38c",common,b,Not Owned,Non-foil,false,,,"New","",,
"Night's Whisper",2,"Sorcery",B,"5dn","55",uncommon,b,Not Owned,Non-foil,false,,,"New","",20816,
"Toxic Deluge",3,"Sorcery",B,"c13","96",rare,b,Not Owned,Non-foil,false,,,"New","",51366,
"Yawgmoth's Will",3,"Sorcery",B,"usg","171",rare,b,Not Owned,Non-foil,false,,,"New","",12349,
"Damnation",4,"Sorcery",B,"plc","85",rare,b,Not Owned,Non-foil,false,,,"New","",26279,
"Tendrils of Agony",4,"Sorcery",B,"scg","75",uncommon,b,Not Owned,Non-foil,false,,,"New","",18866,
"Dark Petition",5,"Sorcery",B,"ori","90",rare,b,Owned,Non-foil,false,,,"","",57968,
"Living Death",5,"Sorcery",B,"tmp","142",rare,b,Not Owned,Non-foil,false,,,"New","",9795,
"Wishclaw Talisman",2,"Artifact",B,"eld","110",rare,b,Not Owned,Non-foil,false,,,"New","",78342,
"Bolas's Citadel",6,"Legendary Artifact",B,"war","79",rare,b,Owned,Non-foil,false,,,"","",71764,
"Animate Dead",2,"Enchantment - Aura",B,"leb","93",uncommon,b,Not Owned,Non-foil,false,,,"New","",,
"Bitterblossom",2,"Tribal Enchantment - Faerie",B,"mor","58",rare,b,Not Owned,Non-foil,false,,,"New","",29038,
"Necromancy",3,"Enchantment",B,"vis","64",uncommon,b,Not Owned,Non-foil,false,,,"New","",7649,
"Phyrexian Arena",3,"Enchantment",B,"apc","47",rare,b,Owned,Non-foil,false,,,"","",16324,
"Recurring Nightmare",3,"Enchantment",B,"exo","72",rare,b,Not Owned,Non-foil,false,,,"New","",10583,
"Yawgmoth's Bargain",6,"Enchantment",B,"uds","75",rare,b,Owned,Non-foil,false,,,"","",12853,
"Volrath's Stronghold",0,"Land",B,"sth","143",rare,Black,Not Owned,Non-foil,false,,,"New","",10429,
"Bomat Courier",1,"Artifact Creature - Construct",R,"kld","199",rare,r,Not Owned,Non-foil,false,,,"New","",62075,
"Falkenrath Gorger",1,"Creature - Vampire Berserker",R,"soi","155",rare,r,Not Owned,Non-foil,false,,,"New","",59776,
"Firedrinker Satyr",1,"Creature - Satyr Shaman",R,"ths","122",rare,r,Not Owned,Non-foil,false,,,"New","",50612,
"Goblin Guide",1,"Creature - Goblin Scout",R,"zen","126",rare,r,Not Owned,Non-foil,false,,,"New","",34374,
"Goblin Welder",1,"Creature - Goblin Artificer",R,"ulg","80",rare,r,Not Owned,Non-foil,false,,,"New","",12561,
"Grim Lavamancer",1,"Creature - Human Wizard",R,"tor","100",rare,r,Not Owned,Non-foil,false,,,"New","",17339,
"Monastery Swiftspear",1,"Creature - Human Monk",R,"ktk","118",uncommon,r,Not Owned,Non-foil,false,,,"New","",54108,
"Stromkirk Noble",1,"Creature - Vampire Noble",R,"isd","164",rare,r,Owned,Non-foil,false,,,"","",42554,
"Zurgo Bellstriker",1,"Legendary Creature - Orc Warrior",R,"dtk","169",rare,r,Not Owned,Non-foil,false,,,"New","",56050,
"Abbot of Keral Keep",2,"Creature - Human Monk",R,"ori","127",rare,r,Owned,Non-foil,false,,,"","",58042,
"Dire Fleet Daredevil",2,"Creature - Human Pirate",R,"rix","99",rare,r,Not Owned,Non-foil,false,,,"New","",66651,
"Dreadhorde Arcanist",2,"Creature - Zombie Wizard",R,"war","125",rare,r,Owned,Non-foil,false,,,"","",71856,
"Eidolon of the Great Revel",2,"Enchantment Creature - Spirit",R,"jou","94",rare,r,Not Owned,Non-foil,false,,,"New","",52246,
"Embereth Shieldbreaker",2,"Creature - Human Knight ",R,"eld","122",uncommon,r,Not Owned,Non-foil,false,,,"New","",78368,
"Kargan Intimidator",2,"Creature - Human Warrior",R,"znr","145",rare,r,Owned,Non-foil,false,,,"","",83263,
"Kari Zev, Skyship Raider",2,"Legendary Creature - Human Pirate",R,"aer","87",rare,r,Not Owned,Non-foil,false,,,"New","",62745,
"Robber of the Rich",2,"Creature - Human Archer Rogue",R,"eld","138",mythic,r,Not Owned,Non-foil,false,,,"New","",78406,
"Stormblood Berserker",2,"Creature - Human Berserker",R,"m12","156",uncommon,r,Owned,Non-foil,false,,,"","",41453,
"Young Pyromancer",2,"Creature - Human Shaman",R,"m14","163",uncommon,r,Not Owned,Non-foil,false,,,"New","",49413,
"Bonecrusher Giant",3,"Creature - Giant",R,"eld","115",rare,r,Owned,Non-foil,false,,,"","",78352,
"Goblin Rabblemaster",3,"Creature - Goblin Warrior",R,"m15","145",rare,r,Not Owned,Non-foil,false,,,"New","",53500,
"Imperial Recruiter",3,"Creature - Human Advisor",R,"ptk","113",uncommon,r,Not Owned,Non-foil,false,,,"New","",,
"Legion Warboss",3,"Creature - Goblin Soldier",R,"grn","109",rare,r,Not Owned,Non-foil,false,,,"New","",69591,
